# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 222 10/21/2009 SJ Web Edition
# File: D:\Projekte\cycloneIII_3c25_niosII_video.csv
# Generated on: Thu Feb 11 10:14:05 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
top_clk,Unknown,PIN_V9,3,B3_N0,,
top_osc_clk,Unknown,PIN_V9,3,B3_N0,,
top_clkin_50,Unknown,PIN_V9,3,B3_N0,,
top_reset_n,Unknown,PIN_N2,2,B2_N0,,
top_mem_clk,Unknown,PIN_U2,3,B3_N0,SSTL-2 Class I,
top_mem_clk_n,Unknown,PIN_V2,3,B3_N0,SSTL-2 Class I,
top_mem_cs_n,Unknown,PIN_V1,3,B3_N0,SSTL-2 Class I,
top_mem_cke,Unknown,PIN_R13,4,B4_N0,SSTL-2 Class I,
top_mem_addr[0],Unknown,PIN_U1,3,B3_N0,SSTL-2 Class I,
top_mem_addr[1],Unknown,PIN_U5,3,B3_N0,SSTL-2 Class I,
top_mem_addr[2],Unknown,PIN_U7,3,B3_N0,SSTL-2 Class I,
top_mem_addr[3],Unknown,PIN_U8,3,B3_N0,SSTL-2 Class I,
top_mem_addr[4],Unknown,PIN_P8,3,B3_N0,SSTL-2 Class I,
top_mem_addr[5],Unknown,PIN_P7,3,B3_N0,SSTL-2 Class I,
top_mem_addr[6],Unknown,PIN_P6,3,B3_N0,SSTL-2 Class I,
top_mem_addr[7],Unknown,PIN_T14,4,B4_N0,SSTL-2 Class I,
top_mem_addr[8],Unknown,PIN_T13,4,B4_N0,SSTL-2 Class I,
top_mem_addr[9],Unknown,PIN_V13,4,B4_N0,SSTL-2 Class I,
top_mem_addr[10],Unknown,PIN_U17,4,B4_N0,SSTL-2 Class I,
top_mem_addr[11],Unknown,PIN_V17,4,B4_N0,SSTL-2 Class I,
top_mem_addr[12],Unknown,PIN_U16,4,B4_N0,SSTL-2 Class I,
top_mem_ba[0],Unknown,PIN_V11,4,B4_N0,SSTL-2 Class I,
top_mem_ba[1],Unknown,PIN_V12,4,B4_N0,SSTL-2 Class I,
top_mem_ras_n,Unknown,PIN_V16,4,B4_N0,SSTL-2 Class I,
top_mem_cas_n,Unknown,PIN_T4,3,B3_N0,SSTL-2 Class I,
top_mem_we_n,Unknown,PIN_U15,4,B4_N0,SSTL-2 Class I,
top_mem_dq[0],Unknown,PIN_U4,3,B3_N0,SSTL-2 Class I,
top_mem_dq[1],Unknown,PIN_V4,3,B3_N0,SSTL-2 Class I,
top_mem_dq[2],Unknown,PIN_R8,3,B3_N0,SSTL-2 Class I,
top_mem_dq[3],Unknown,PIN_V5,3,B3_N0,SSTL-2 Class I,
top_mem_dq[4],Unknown,PIN_P9,3,B3_N0,SSTL-2 Class I,
top_mem_dq[5],Unknown,PIN_U6,3,B3_N0,SSTL-2 Class I,
top_mem_dq[6],Unknown,PIN_V6,3,B3_N0,SSTL-2 Class I,
top_mem_dq[7],Unknown,PIN_V7,3,B3_N0,SSTL-2 Class I,
top_mem_dq[8],Unknown,PIN_U13,4,B4_N0,SSTL-2 Class I,
top_mem_dq[9],Unknown,PIN_U12,4,B4_N0,SSTL-2 Class I,
top_mem_dq[10],Unknown,PIN_U11,4,B4_N0,SSTL-2 Class I,
top_mem_dq[11],Unknown,PIN_V15,4,B4_N0,SSTL-2 Class I,
top_mem_dq[12],Unknown,PIN_U14,4,B4_N0,SSTL-2 Class I,
top_mem_dq[13],Unknown,PIN_R11,4,B4_N0,SSTL-2 Class I,
top_mem_dq[14],Unknown,PIN_P10,4,B4_N0,SSTL-2 Class I,
top_mem_dq[15],Unknown,PIN_V14,4,B4_N0,SSTL-2 Class I,
top_mem_dqs[0],Unknown,PIN_U3,3,B3_N0,SSTL-2 Class I,
top_mem_dqs[1],Unknown,PIN_T8,3,B3_N0,SSTL-2 Class I,
top_mem_dm[0],Unknown,PIN_V3,3,B3_N0,SSTL-2 Class I,
top_mem_dm[1],Unknown,PIN_V8,3,B3_N0,SSTL-2 Class I,
top_flash_wr_n,Unknown,PIN_D18,6,B6_N0,,
top_flash_cs_n,Unknown,PIN_E2,1,B1_N0,,
top_flash_oe_n,Unknown,PIN_D17,6,B6_N0,,
top_flash_reset_n,Unknown,PIN_C3,1,B1_N0,,
top_flash_ssram_a[20],Unknown,PIN_A6,8,B8_N0,,
top_flash_ssram_a[21],Unknown,PIN_B18,6,B6_N0,,
top_flash_ssram_a[22],Unknown,PIN_C17,6,B6_N0,,
top_flash_ssram_a[23],Unknown,PIN_C18,6,B6_N0,,
top_flash_ssram_a[24],Unknown,PIN_G14,6,B6_N0,,
top_flash_ssram_a[25],Unknown,PIN_B17,6,B6_N0,,
top_flash_ssram_a[1],Unknown,PIN_E12,7,B7_N0,,
top_flash_ssram_a[2],Unknown,PIN_A16,7,B7_N0,,
top_flash_ssram_a[3],Unknown,PIN_B16,7,B7_N0,,
top_flash_ssram_a[4],Unknown,PIN_A15,7,B7_N0,,
top_flash_ssram_a[5],Unknown,PIN_B15,7,B7_N0,,
top_flash_ssram_a[6],Unknown,PIN_A14,7,B7_N0,,
top_flash_ssram_a[7],Unknown,PIN_B14,7,B7_N0,,
top_flash_ssram_a[8],Unknown,PIN_A13,7,B7_N0,,
top_flash_ssram_a[9],Unknown,PIN_B13,7,B7_N0,,
top_flash_ssram_a[10],Unknown,PIN_A12,7,B7_N0,,
top_flash_ssram_a[11],Unknown,PIN_B12,7,B7_N0,,
top_flash_ssram_a[12],Unknown,PIN_A11,7,B7_N0,,
top_flash_ssram_a[13],Unknown,PIN_B11,7,B7_N0,,
top_flash_ssram_a[14],Unknown,PIN_C10,7,B7_N0,,
top_flash_ssram_a[15],Unknown,PIN_D10,7,B7_N0,,
top_flash_ssram_a[16],Unknown,PIN_E10,8,B8_N0,,
top_flash_ssram_a[17],Unknown,PIN_C9,8,B8_N0,,
top_flash_ssram_a[18],Unknown,PIN_D9,8,B8_N0,,
top_flash_ssram_a[19],Unknown,PIN_A7,8,B8_N0,,
top_flash_ssram_d[0],Unknown,PIN_H3,1,B1_N0,,
top_flash_ssram_d[1],Unknown,PIN_D1,1,B1_N0,,
top_flash_ssram_d[19],Unknown,PIN_D2,1,B1_N0,,
top_flash_ssram_d[2],Unknown,PIN_A8,8,B8_N0,,
top_flash_ssram_d[3],Unknown,PIN_B8,8,B8_N0,,
top_flash_ssram_d[4],Unknown,PIN_B7,8,B8_N0,,
top_flash_ssram_d[5],Unknown,PIN_C5,8,B8_N0,,
top_flash_ssram_d[6],Unknown,PIN_E8,8,B8_N0,,
top_flash_ssram_d[7],Unknown,PIN_A4,8,B8_N0,,
top_flash_ssram_d[8],Unknown,PIN_B4,8,B8_N0,,
top_flash_ssram_d[9],Unknown,PIN_E7,8,B8_N0,,
top_flash_ssram_d[10],Unknown,PIN_A3,8,B8_N0,,
top_flash_ssram_d[11],Unknown,PIN_B3,8,B8_N0,,
top_flash_ssram_d[12],Unknown,PIN_D5,8,B8_N0,,
top_flash_ssram_d[13],Unknown,PIN_B5,8,B8_N0,,
top_flash_ssram_d[14],Unknown,PIN_A5,8,B8_N0,,
top_flash_ssram_d[15],Unknown,PIN_B6,8,B8_N0,,
top_flash_ssram_d[16],Unknown,PIN_C16,7,B7_N0,,
top_flash_ssram_d[17],Unknown,PIN_D12,7,B7_N0,,
